ID;POWER_STATION;UNITS;CAPACITY_MWE;COUNTRY;LOCATION;CONSTRUCTION_START;PLANNED_CONNECTION
1;Almaraz;2;2,017;Spain;39°48'29''N 05°41'49''W;;
2;Angra;2;1,889[note 1];Brazil;23°00'30''S 44°28'26''W;;
3;Arkansas Nuclear One;2;1,839;United States;35°18'37''N 93°13'53''W;;
4;Ascó;2;1,992;Spain;41°12'00''N 00°34'10''E;;
5;Balakovo;4;3,8;Russia;52°05'28''N 47°57'19''E;;
6;Beaver Valley;2;1,738;United States;40°37'24''N 80°25'50''W;;
7;Belleville;2;2,62;France;47°30'35''N 02°52'30''E;;
8;Blayais;4;3,64;France;45°15'21''N 00°41'35''E;;
9;Braidwood;2;2,33;United States;41°14'37''N 88°13'45''W;;
10;Brokdorf;1;1,41;Germany;53°51'03''N 09°20'41''E;;
11;Browns Ferry;3;3,3;United States;34°42'14''N 87°07'07''W;;
12;Bruce;8;6,234;Canada;44°42'14''N 81°35'58''W;;
13;Brunswick Nuclear Generating Station;2;1,858;United States;33°57'30''N 78°0'37''W;;
14;Bugey Nuclear Power Plant;4;3,580[note 2];France;45°19'31''N 05°16'15''E;;
15;Bushehr Nuclear Power Plant;1;915;Iran;28°49'47''N 50°53'10''E;;
16;Byron Nuclear Generating Station;2;2,3;United States;42°4'27''N 89°16'55''W;;
17;Callaway Plant;1;1,19;United States;38°45'42''N 91°46'48''W;;
18;Calvert Cliffs Nuclear Power Plant;2;1,735;United States;38°25'55''N 76°26'32''W;;
19;Catawba Nuclear Station;2;2,258;United States;35°3'6''N 81°4'12''W;;
20;Cattenom Nuclear Power Plant;4;5,2;France;49°24'57''N 06°13'05''E;;
21;Cernavod? Nuclear Power Plant;2;1,3;Romania;44°19'20''N 28°03'26''E;;
22;Chinon Nuclear Power Plant;4;3,620[note 3];France;47°13'50''N 00°10'14''E;;
23;Chin Shan Nuclear Power Plant;2;1,208;Taiwan;25°17'29''N 121°34'4''E;;
24;Chooz Nuclear Power Plant;2;3,000[note 4];France;50°05'24''N 04°47'22''E;;
25;Civaux Nuclear Power Plant;2;2,99;France;46°27'24''N 00°39'10''E;;
26;Clinton Nuclear Generating Station;1;1,043;United States;40°10'20''N 88°50'06''W;;
27;Cofrentes Nuclear Power Plant;1;1,064;Spain;39°13'00''N 01°03'00''W;;
28;Columbia Generating Station;1;1,131;United States;46°28'16''N 119°20'02''W;;
29;Comanche Peak Nuclear Generating Station;2;2,367;United States;32°17'54''N 97°47'06''W;;
30;Cruas Nuclear Power Plant;4;3,66;France;44°37'59''N 04°45'24''E;;
