Land;Laenderkuerzel;Kohle;Oel;Gas;Fossil gesamt;Rang Fossil;Nuklear;Rang Nuklear;Wasser;Geo Thermal;Photovoltaic;Sonne Thermal;Wind;Wasserstroemung;Erneuerbar gesamt;Rang Erneuerbar;Andere(Biomasse+Abfall+andere);Gesamt;Rang gesamt
China;CN;2733;23;31;2788;2;68;8;585;-;0.2;-;13;-;598;1;2.4;3457;2
Indien;IN;569;24;82;685;5;15;12;114;-;0.02;-;14;-;1280.02;6;2;830;5
USA;US;2133;58;911;3101;1;838;1;282;17;1.6;0.88;56;-;357;4;73;4369;1
Indonesien;ID;61;43;25;130;19;-;-;12;8.3;-;-;-;-;20;17;-;149;20
Brazilien;BR;13;18;29;59;23;15;13;370;-;-;-;0.6;-;370;3;20;463;9
Pakistan;PK;0.1;32;30;62;22;1.6;16;28;-;-;-;-;-;28;14;-;92;24
Bangladesch;BD;0.6;1.7;31;33;27;-;-;1.5;-;-;-;-;-;1.50;29;-;35;27
Nigeria;NG;-;3.1;12;15;28;-;-;5.7;-;-;-;-;-;5.70;25;-;21;28
Russland;RU;197;16;495;708;4;163;4;167;0.5;-;-;0.01;-;167;5;2.5;1.04;4
Japan;JP;288;139;283;711;3;258;3;83;2.8;2.3;-;2.60;-;91;7;22;1082;3
Mexico;MX;21;49;131;202;13;9.8;14;39;7.1;0.01;-;0.3;-;47;12;0.8;259;14
Phillipinen;PH;16;4.9;20;40;26;-;-;9.8;11;0.001;-;0.1;-;21;16;-;61;26
Vietnam;VN;15;1.6;30;47;25;-;-;26;-;-;-;-;-;26;15;-;73;25
Aethiopien;ET;-;0.5;-;0.5;29;-;-;3.3;0.01;-;-;-;-;3.30;28;-;3.8;30
Aegypten;EG;-;26;90;115;20;-;-;15;-;-;;0.9;-;16;20;-;131;22
Deutschland;DE;291;9.2;88;388;6;148;6;27;0.02;4.4;-;41;-;72;9;29;637;7
Tuerkei;TR;58;7.5;99;164;16;-;-;33;0.16;-;-;0.85;-;34;13;0.22;198;19
Kongo;CD;-;0.02;0.03;0.05;30;-;-;7.5;-;-;-;-;-;7.50;22;-;7.5;29
Iran;IR;0.4;36;173;209;11;-;-;5;-;-;-;0.20;-;5.2;26;-;215;17
Thailand;TH;32;1.7;102;135;18;-;-;7.1;0.002;0.003;-;-;-;7.2;23;4.8;147;21
Frankreich;FR;27;5.8;22;55;24;439;2;68;-;0.04;-;5.70;0.51;75;8;5.9;575;8
UK;GB;127;6.1;177;310;7;52;10;9.3;-;0.02;-;7.1;-;16;18;11;389;11
Italien;IT;49;31;173;253;9;-;-;47;5.5;0.2;-;4.9;-;58;11;8.6;319;12
Sued Korea;KR;192;15;81;188;8;151;5;5.6;-;0.3;-;0.4;-;6.3;24;0.7;446;10
Spanien;ES;50;18;122;190;14;59;9;26;-;2.6;0.02;32;-;61;10;4.3;314;13
Kanada;CA;112;9.8;41;162;17;94;7;383;-;0.03;-;3.8;0.03;386;2;8.5;651;6
Saudi Arabien;SA;-;116;88;204;12;-;-;-;-;-;-;-;-;-;-;-;204;18
Taiwan;TW;125;14;46;186;15;41;11;7.8;-;0.004;-;0.6;-;8.4;21;3.5;238;16
Australien;AU;198;2.8;39;239;10;-;-;12;-;0.2;0.004;3.9;-;16;19;2.2;257;15
Niederlande;NL;27;2.1;63;92;21;4.2;15;0.1;-;0.04;;4.3;-;4.4;27;6.8;108;23
