States/UTs,Area (GA),Reserved Forests,Protected Forests,Unclassified Forests,Total - RFA,% of GA
Lakshadweep,0.00,0.00,0.00,0.00,0.00,0.00
Puducherry,480.00,0.00,2.00,11.00,13.00,2.71
Haryana,44212.00,249.00,1158.00,152.00,1559.00,3.53
Delhi,1483.00,78.00,7.00,0.00,85.00,5.73
Punjab,50362.00,44.00,1137.00,1903.00,3084.00,6.12
Bihar,94163.00,693.00,5779.00,1.00,6473.00,6.87
Uttar Pradesh,240928.00,11660.00,1420.00,3503.00,16583.00,6.88
Daman and Diu,112.00,0.24,0.00,8.03,8.00,7.38
Jammu and Kashmir,222236.00,17643.00,2551.00,36.00,20230.00,9.10
Rajasthan,342239.00,12475.00,18217.00,2045.00,32737.00,9.57
Gujarat,196022.00,14373.00,2886.00,4388.00,21647.00,11.04
West Bengal,88752.00,7054.00,3772.00,1053.00,11879.00,13.38
Tamil Nadu,130058.00,19388.00,2183.00,1306.00,22877.00,17.59
Maharashtra,307713.00,51548.00,6727.00,3082.00,61357.00,19.94
Karnataka,191791.00,28690.00,3931.00,5663.00,38284.00,19.96
Andhra Pradesh,275069.00,50479.00,12365.00,970.00,63814.00,23.20
Kerala,38863.00,11309.00,0.00,0.00,11309.00,29.10
Jharkhand,79714.00,4387.00,19185.00,33.00,23605.00,29.61
Chandigarh,114.00,32.00,0.00,3.00,35.00,30.70
Madhya Pradesh,308245.00,61886.00,31098.00,1705.00,94689.00,30.72
Goa,3702.00,253.00,0.00,972.00,1225.00,33.09
Assam,78438.00,17864.00,0.00,8968.00,26832.00,34.21
Odisha,155707.00,26329.00,15525.00,16282.00,58136.00,37.34
Dadra and NagarHaveli,491.00,199.00,5.00,0.00,204.00,41.55
Meghalaya,22429.00,1113.00,12.00,8371.00,9496.00,42.34
Chhattisgarh,135191.00,25782.00,24036.00,9954.00,59772.00,44.21
Nagaland,16579.00,86.00,508.00,8628.00,9222.00,55.62
Tripura,10486.00,4175.00,2.00,2117.00,6294.00,60.02
Arunachal Pradesh,83743.00,10723.00,9779.00,31039.00,51541.00,61.55
Uttarakhand,53483.00,24643.00,9885.00,123.00,34651.00,64.79
Himachal Pradesh,55673.00,1898.00,33130.00,2005.00,37033.00,66.52
Manipur,22327.00,1467.00,4171.00,11780.00,17418.00,78.01
Mizoram,21081.00,7909.00,3568.00,5240.00,16717.00,79.30
Sikkim,7096.00,5452.00,389.00,0.00,5841.00,82.31
Andaman and Nicobar Islands,8249.00,5613.00,1558.00,0.00,7171.00,86.93
Total,3287263.00,425494.00,214986.00,131341.00,771821.00,23.48
