State/ Uts,Geographical - Area,Tree Cover - Area,Tree Cover - Per cent of GA
Andhra Pradesh,"2,75,069","7.187",2.61
Arunachal Pradesh,"83,743",660,0.79
Assam,"78,438","1.582",2.02
Bihar,"94,163","2.164",2.3
Chhattisgarh,"1,35,191","3.463",2.56
Delhi,"1,483",118,7.94
Goa,"3,702",334,9.03
Gujarat,"1,96,022","8.358",4.26
Haryana,"44,212","1.282",2.9
Himachal Pradesh,"55,673",697,1.25
Jammu and Kashmir,"2,22,236","7.664",3.45
Jharkhand,"79,714","2.629",3.3
Karnataka,"1,91,791","5.920",3.09
Kerala,"38,863","3.146",8.09
Madhya Pradesh,"3,08,245","7.087",2.3
Maharashtra,"3,07,713","9.142",2.97
Manipur,"22,327",224,1
Meghalaya,"22,429",668,2.98
Mizoram,"21,081",223,1.06
Nagaland,"16,579",372,2.24
Odisha,"1,55,707","4.013",2.58
Punjab,"50,362","1.499",2.98
Rajasthan,"3,42,239","7.860",2.3
Sikkim,"7,096",31,0.44
Tamil Nadu,"1,30,058","4.866",3.74
Tripura,"10,486",213,2.03
Uttar Pradesh,"2,40,928","6.895",2.86
Uttarakhand,"53,483",703,1.32
West Bengal,"88,752","2.144",2.42
Andaman and Nicobar Islands,"8,249",41,0.5
Chandigarh,114,10,8.51
Dadra and Nagar Haveli,491,29,5.95
Daman and Diu,112,9,8.46
Lakshadweep,32,5,16.69
Puducherry,480,29,6.07
TOTAL,"32,87,263","91.266",2.78
