;;Export in Terawattstunden;;;;;;;
Rang (2010);Kuerzel;Land;2000;2005;2006;2007;2008;2009;2010
1;FR;Frankreich;73.17;68.39;71.86;67.60;58.74;44.45;66.60
2;DE;Deutschland;42.08;61.43;65.44;62.51;61.77;54.13;57.92
3;CA;Kanada;48.52;42.93;41.54;50.12;55.73;50.87;43.91
4;PY;Paraguay;47.36;43.79;45.71;45.12;46.30;45.04;43.38
5;CH;Schweiz;31.40;32.00;31.10;36.88;32.74;33.53;32.88
6;CZ;Tschechien;18.74;24.99;24.10;26.36;19.99;22.23;21.59
7;US;USA;14.83;19.79;24.27;20.14;24.20;18.14;19.41
8;CN;China;10.30;11.19;12.27;14.57;16.64;17.39;19.06
9;RU;Russland;22.85;22.52;20.93;18.47;20.74;17.92;19.01
10;AT;Oesterreich;15.19;17.73;14.41;15.51;14.93;18.76;17.53
11;ZA;Suedafrika;3.97;13.42;13.59;14.50;14.17;14.05;14.65
12;ES;Spanien;7.83;11.56;12.37;14.52;16.92;14.86;13.52
13;MZ;Mosambik;5.77;12.00;12.83;11.82;11.21;12.94;13.00
14;NL;Niederlande;4.03;5.40;5.89;5.57;9.12;10.56;12.81
15;BE;Belgien;7.32;8.02;8.70;9.04;6.56;11.32;11.84
16;DK;Daenemark;7.75;11.57;13.70;11.38;11.36;10.87;11.73
17;UZ;Usbekistan;12.75;11.50;11.90;11.44;11.55;11.50;11.66
18;SI;Slowenien;5.55;7.56;7.02;5.91;7.82;9.22;10.14
19;BG;Bulgarien;5.58;8.38;8.88;7.53;8.44;7.74;9.36
20;UA;Ukraine;6.50;10.07;12.52;12.55;8.83;7.96;8.00
