;;Import in Terawattstunden;;;;;;;
Rang (2010);Kürzel;Land;2000;2005;2006;2007;2008;2009;2010
1;IT;Italien;44.83;50.26;46.60;48.93;43.43;46.57;45.76
2;US;USA;48.59;44.53;42.69;51.40;57.02;52.19;45.23
3;DE;Deutschland;45.13;56.86;48.46;45.95;41.67;41.86;42.96
4;BR;Brasilien;43.00;39.20;41.45;40.87;42.90;40.75;36.63
5;CH;Schweiz;24.33;38.35;33.80;34.82;31.60;31.37;33.40
6;AT;Österreich;13.82;20.40;21.26;22.13;19.80;19.54;19.75
7;CA;Kanada;12.69;19.32;23.41;19.56;23.61;17.52;18.79
8;FI;Finnland;12.21;17.95;14.12;15.42;16.11;15.46;15.72
9;NL;Niederlande;22.95;23.69;27.35;23.14;24.97;15.45;15.58
10;SE;Schweden;18.31;14.58;17.54;16.05;12.75;13.77;14.93
11;NO;Norwegen;1.47;3.65;9.80;5.29;3.41;5.65;14.67
12;BE;Belgien;11.65;14.33;18.85;15.82;17.16;9.49;12.41
13;ZA;Südafrika;5.29;11.08;10.62;11.35;10.57;12.30;12.19
14;UZ;Usbekistan;14.03;11.42;11.82;11.36;11.46;11.58;11.60
15;HK;Hongkong;10.20;11.00;10.90;10.96;11.30;11.59;11.05
16;IN;Indien;1.54;1.76;2.96;5.23;9.25;10.53;11.00
17;DK;Dänemark;8.42;12.94;6.77;10.43;12.82;11.21;10.60
18;AR;Argentinien;7.25;8.02;7.42;10.28;8.46;8.60;10.30
19;HU;Ungarn;9.52;15.64;15.39;14.68;12.77;10.97;9.90
20;GR;Griechenland;1.73;5.62;6.14;6.41;7.58;7.60;8.52
