Variable: CO2 emissions - per Capita (WDI)
Units: Metric Tons per capita
Data Source: World Bank
Provider: UNEP Environmental Data Explorer (http://geodata.grid.unep.ch/)
Country Name,Sovereign,GEO Region,GEO Subregion,GEO ID,ISO 2 Code,ISO 3 Code,UN Code,Developed,Least Developed,OECD,Sub-saharan,Small Island Dev. States,Arab World,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,Afghanistan,Asia + Pacific,South Asia,4,AF,AFG,4,0,1,0,0,0,0,0.0472248,0.0548808,0.0754116,0.0757782,0.0879576,0.103269,0.109385,0.125559,0.117027,0.0878369,0.151798,0.167426,0.131635,0.13698,0.156258,0.169447,0.155192,0.183428,0.163631,0.169006,0.133543,0.15303,0.166306,0.206086,0.238812,0.304391,0.279035,0.282406,0.260374,0.247511,0.228187,0.197713,0.103278,0.0906159,0.08008,0.072147,0.0651148,0.0586065,0.0541676,0.0416474,0.0379246,0.0302323,0.0161856,0.0252228,0.0305346,0.0408578,0.0522196,0.0755688,0.145284,0.235439,0.290025
Albania,Albania,Europe,Central Europe,8,AL,ALB,8,0,0,0,0,0,0,1.2504,1.367,1.43337,1.1764,1.10676,1.16018,1.32488,1.3548,1.5129,1.55685,1.75038,1.98339,2.50676,2.29165,1.83544,1.8935,1.99113,2.24632,2.49019,2.84097,1.89064,2.62252,2.55188,2.60413,2.60731,2.56029,2.5477,2.2894,2.19596,2.63898,2.1724,1.14787,0.692578,0.685695,0.569927,0.621385,0.603659,0.463422,0.527093,0.899636,0.914268,0.980892,1.14945,1.32558,1.29523,1.3309,1.21558,1.28093,1.30806,1.23118,1.35964
Algeria,Algeria,Africa,Northern Africa,12,DZ,DZA,12,0,0,0,0,0,1,0.546258,0.524643,0.478617,0.447181,0.454132,0.516552,0.642421,0.62545,0.65249,0.78926,1.02615,1.23648,1.8276,2.40423,1.94853,1.90283,2.26272,2.35234,3.41123,2.41577,3.41559,2.30994,1.89102,2.45301,3.21,3.18575,3.24041,3.47238,3.37076,3.12969,3.00672,3.02892,2.98752,2.92904,3.00321,3.23014,3.23559,2.90637,3.47432,2.94532,2.77215,2.62186,2.78923,2.80374,2.67452,3.15444,3.01279,3.2008,3.20835,3.42427,3.33151
American Samoa,United States of America,Asia + Pacific,South Pacific,16,AS,ASM,16,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Andorra,Andorra,Europe,Western Europe,20,AD,AND,20,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.3745,6.6181,7.15205,7.58702,8.01105,8.01818,7.71149,7.42214,7.07775,7.1429,7.08813,6.67322,6.63102,6.74072,6.57327,6.63672
Angola,Angola,Africa,Southern Africa,24,AO,AGO,24,0,1,0,1,0,0,0.110763,0.0899221,0.229273,0.21953,0.229364,0.21865,0.281329,0.176836,0.292571,0.479076,0.604353,0.563761,0.729145,0.771901,0.752617,0.665157,0.482561,0.505753,0.753363,0.743886,0.700064,0.668257,0.567729,0.602538,0.570206,0.518676,0.500045,0.608289,0.523587,0.498364,0.428663,0.409979,0.401602,0.510123,0.331308,0.90971,0.842542,0.577081,0.556294,0.677726,0.685212,0.67654,0.850822,0.58782,1.1763,1.15788,1.3004,1.41999,1.45223,1.47074,1.55597
Anguilla,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,28,AI,AIA,660,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antarctic,Antarctic,Polar,Antarctic,32,ATA,AQ,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antigua and Barbuda,Antigua and Barbuda,Latin America + Caribbean,Caribbean,36,AG,ATG,28,0,0,0,0,1,0,0.670617,0.860441,1.82337,1.47018,1.56709,2.52036,5.72799,9.10806,15.6719,19.559,7.06821,6.41219,5.56557,4.85538,6.2492,10.2195,5.78043,6.63186,6.96911,5.76924,2.0343,1.52463,4.25468,1.24108,2.19374,3.79283,3.8597,4.33219,4.57364,4.61578,4.85727,4.70038,4.62465,4.74854,4.68362,4.7213,4.59386,4.67056,4.4969,4.58128,4.43924,4.36481,4.53621,4.80448,4.981,4.97431,5.09629,5.25738,5.3706,5.77882,5.88516
Argentina,Argentina,Latin America + Caribbean,South America,40,AR,ARG,32,0,0,0,0,0,0,2.36691,2.4419,2.52149,2.31539,2.53722,2.64048,2.7914,2.85701,2.96883,3.27492,3.45037,3.64945,3.63744,3.7305,3.7264,3.64134,3.76782,3.74831,3.76063,3.9963,3.86689,3.57412,3.56769,3.57439,3.56423,3.3156,3.38391,3.67761,3.83037,3.63971,3.45177,3.53804,3.62304,3.49241,3.58584,3.51813,3.66429,3.77347,3.81269,3.98439,3.8229,3.55835,3.27596,3.50607,4.07662,4.16458,4.4689,4.58709,4.79021,4.48832,4.47096
