Variable: Population - Total both Sexes
Units: Thousand People
Data Source: UN Population Division
Provider: UNEP Environmental Data Explorer (http://geodata.grid.unep.ch/)
Country Name,Sovereign,GEO Region,GEO Subregion,GEO ID,ISO 2 Code,ISO 3 Code,UN Code,Developed,Least Developed,OECD,Sub-saharan,Small Island Dev. States,Arab World,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,Afghanistan,Asia + Pacific,South Asia,4,AF,AFG,4,0,1,0,0,0,0,8774.44,8953.54,9141.78,9339.51,9547.13,9765.01,9990.13,10221.9,10465.8,10729.2,11015.6,11323.5,11644.4,11966.3,12273.6,12551.8,12806.8,13034.5,13199.6,13257.1,13180.4,12963.8,12634.5,12241.9,11854.2,11529,11262.4,11063.1,11013.3,11215.3,11731.2,12612,13811.9,15175.3,16485,17586.1,18415.3,19021.2,19496.8,19987.1,20595.4,21347.8,22202.8,23116.1,24018.7,24860.9,25631.3,26349.2,27032.2,27708.2,28397.8,29105.5,29824.5
Albania,Albania,Europe,Central Europe,8,AL,ALB,8,0,0,0,0,0,0,1618.83,1668.53,1719.18,1770.53,1822.3,1874.3,1926.38,1978.58,2031.17,2084.53,2138.97,2194.59,2251.32,2309.03,2367.5,2426.59,2486.26,2546.62,2607.94,2670.57,2734.78,2799.34,2863.9,2930.35,3001.32,3077.93,3162.22,3251.51,3336.43,3404.41,3446.88,3459.76,3446.86,3417.28,3384.37,3357.86,3341.04,3331.32,3325.46,3317.94,3304.95,3286.08,3263.6,3239.39,3216.2,3196.13,3179.57,3166.22,3156.61,3151.18,3150.14,3153.88,3162.08
Algeria,Algeria,Africa,Northern Africa,12,DZ,DZA,12,0,0,0,0,0,1,11277.8,11560.7,11844.9,12136.4,12443.2,12771.1,13122.9,13496.6,13887,14286.8,14690.9,15098.2,15511.9,15935.6,16374.7,16833.5,17311.5,17808.5,18330.5,18884.7,19475.2,20103.9,20766.6,21453.3,22150.5,22847.4,23539.4,24225.8,24904.9,25576.6,26239.7,26893.7,27535.2,28157.6,28752.8,29315.5,29845.2,30345.5,30820.4,31276.3,31719.4,32150.2,32573,33003.4,33461.4,33960.9,34507.2,35097,35725.4,36383.3,37062.8,37763,38481.7
American Samoa,United States of America,Asia + Pacific,South Pacific,16,AS,ASM,16,0,0,0,0,0,0,20.012,20.48,21.12,21.88,22.7,23.518,24.32,25.12,25.89,26.61,27.292,27.92,28.49,29.01,29.49,29.932,30.32,30.69,31.11,31.67,32.456,33.49,34.74,36.16,37.69,39.247,40.84,42.45,44.05,45.59,47.044,48.38,49.6,50.73,51.81,52.874,53.93,54.94,55.9,56.77,57.522,58.18,58.73,59.12,59.26,59.117,58.65,57.92,57.05,56.24,55.636,55.27,55.13
Andorra,Andorra,Europe,Western Europe,20,AD,AND,20,0,0,0,0,0,0,13.414,14.38,15.38,16.41,17.47,18.551,19.65,20.75,21.89,23.06,24.279,25.56,26.89,28.23,29.51,30.706,31.78,32.77,33.75,34.82,36.063,37.5,39.11,40.86,42.7,44.597,46.52,48.46,50.43,52.45,54.511,56.67,58.9,61,62.71,63.854,64.27,64.09,63.8,64.08,65.399,68,71.64,75.64,79.06,81.223,81.88,81.29,79.97,78.66,77.907,77.86,78.36
Angola,Angola,Africa,Southern Africa,24,AO,AGO,24,0,1,0,1,0,0,4965.99,5056.69,5150.08,5245.02,5339.89,5433.84,5526.65,5619.64,5715.37,5817.28,5928.09,6049.21,6180.86,6323.06,6475.33,6637.63,6808.73,6989.55,7184.44,7399.2,7637.14,7901.87,8190.09,8489.86,8784.75,9063.65,9320.68,9561.02,9798.06,10051.1,10333.8,10652.7,11002.8,11372.2,11743.4,12105,12452,12791.4,13137.5,13510.6,13924.9,14385.3,14886.6,15421.1,15976.7,16544.4,17122.4,17712.8,18314.4,18926.7,19549.1,20180.5,20820.5
Anguilla,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,28,AI,AIA,660,0,0,0,0,0,0,5.863,5.9,5.95,6,6.06,6.114,6.17,6.23,6.29,6.34,6.4,6.45,6.51,6.55,6.6,6.63,6.66,6.69,6.71,6.72,6.698,6.65,6.59,6.54,6.55,6.662,6.88,7.2,7.58,7.97,8.334,8.67,8.98,9.27,9.54,9.807,10.06,10.31,10.55,10.8,11.071,11.37,11.69,12.02,12.34,12.637,12.9,13.15,13.37,13.57,13.768,13.96,14.13
Antarctic,Antarctic,Polar,Antarctic,32,ATA,AQ,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antigua and Barbuda,Antigua and Barbuda,Latin America + Caribbean,Caribbean,36,AG,ATG,28,0,0,0,0,1,0,54.681,55.4,56.31,57.37,58.5,59.653,60.82,62,63.18,64.31,65.369,66.34,67.2,67.97,68.66,69.253,69.78,70.22,70.51,70.55,70.301,69.75,68.95,67.96,66.86,65.744,64.61,63.48,62.54,61.97,61.906,62.41,63.43,64.87,66.55,68.349,70.25,72.23,74.21,76.04,77.648,78.97,80.03,80.9,81.72,82.565,83.47,84.4,85.35,86.3,87.233,88.15,89.07
Argentina,Argentina,Latin America + Caribbean,South America,40,AR,ARG,32,0,0,0,0,0,0,20624,20959.2,21295.3,21630.8,21963.9,22293.8,22618.9,22941.5,23269.3,23612.7,23978.5,24370.7,24785.8,25215.3,25646.5,26070.4,26483.8,26889.8,27293.1,27701.4,28120.1,28550.1,28989.1,29435.4,29886.6,30340.4,30796.5,31254.6,31713.2,32170.4,32624.9,33075.2,33520.8,33961.9,34399.3,34833.2,35264.1,35690.8,36109.3,36514.6,36903.1,37273.4,37627.5,37970.4,38308.8,38647.9,38988.9,39331.4,39676.1,40023.6,40374.2,40728.7,41086.9
